DGUID,Total_jobs_125,HHI_125
2021S051235060456,736235,978.72
2021S051235060457,736510,978.73
2021S051235060458,735860,978.75
2021S051235060459,736510,978.73
2021S051235060460,736135,978.76
2021S051235060461,735780,978.74
2021S051235060462,735780,978.74
2021S051235060463,736135,978.76
2021S051235060464,736135,978.76
2021S051235060465,736510,978.73
2021S051235060466,736510,978.73
2021S051235060467,736510,978.73
2021S051235060468,736510,978.73
2021S051235060469,736510,978.73
2021S051235060471,736745,978.87
2021S051235060474,736745,978.87
2021S051235060475,736745,978.87
2021S051235060476,736745,978.87
2021S051235060479,737020,978.78
2021S051235060480,737470,978.84
2021S051235060481,737470,978.84
2021S051235060482,738060,978.69
2021S051235060483,739110,978.65
2021S051235060484,739160,978.68
2021S051235060485,737785,978.79
2021S051235060486,737195,978.93
2021S051235060488,736960,978.78
2021S051235060491,738200,978.65
2021S051235060492,738600,978.59
2021S051235060493,739160,978.68
2021S051235060494,739600,978.64
2021S051235060495,739365,978.49
2021S051235060496,739365,978.49
2021S051235060497,739365,978.49
2021S051235060498,739720,978.46
2021S051235060499,739720,978.46
2021S051235060500,739365,978.49
2021S051235060501,739365,978.49
2021S051235060502,739365,978.49
2021S051235060503,738200,978.65
2021S051235060504,738200,978.65
2021S051235060505,739365,978.49
2021S051235060506,737825,978.68
2021S051235060507,737825,978.68
2021S051235060508,737825,978.68
2021S051235060509,736880,978.81
2021S051235060510,736820,978.87
2021S051235060511,735570,978.72
2021S051235060512,736135,978.76
2021S051235060513,736510,978.73
2021S051235060514,735295,978.72
2021S051235060515,735295,978.72
2021S051235060516,735295,978.72
2021S051235060517,735295,978.72
2021S051235060518,735295,978.72
2021S051235060519,734705,978.79
2021S051235060520,734705,978.79
2021S051235060521,734465,978.8
2021S051235060522,732960,979.13
2021S051235060523,732625,979.06
2021S051235060524,732625,979.06
2021S051235060525,732960,979.13
2021S051235060526,732625,979.06
2021S051235060527,732625,979.06
2021S051235060529,733190,979.09
2021S051235060530,732410,979.14
2021S051235060531,732765,979.16
2021S051235060533,731975,979.1
2021S051235060534,732200,979.13
2021S051235060535,732200,979.13
2021S051235060538,731975,979.1
2021S051235060539,731975,979.1
2021S051235060544,733565,979.07
2021S051235060547,730655,979.72
2021S051235060551,729090,979.96
2021S051235060553,728935,979.82
2021S051235060554,728425,979.75
2021S051235060555,728255,979.8
2021S051235060556,728935,979.82
2021S051235060557,728565,979.69
2021S051235060558,728935,979.82
2021S051235060559,728935,979.82
2021S051235060560,729360,979.76
2021S051235060561,728990,979.62
2021S051235060562,728515,979.78
2021S051235060563,728515,979.78
2021S051235060564,730250,979.38
2021S051235060565,730805,979.25
2021S051235060567,731225,979.6
2021S051235060568,731225,979.6
2021S051235060569,731495,979.57
2021S051235060573,734985,978.84
2021S051235060574,734925,979.01
2021S051235060575,736015,978.98
2021S051235060576,735790,979.03
2021S051235060577,738115,978.61
2021S051235060578,738425,978.49
2021S051235060579,737260,978.65
2021S051235060580,735570,978.72
2021S051235060582,740300,978.49
2021S051235060585,740725,978.36
2021S051235060588,740475,978.39
2021S051235060590,740120,978.42
2021S051235060592,740120,978.42
2021S051235060593,739940,978.34
2021S051235060594,739435,978.59
2021S051235060595,740380,978.31
2021S051235060597,740380,978.31
2021S051235060598,740735,978.28
2021S051235060599,740975,978.47
2021S051235060600,741580,978.41
2021S051235060602,740735,978.28
2021S051235060603,740985,978.25
2021S051235060604,741885,978.33
2021S051235060605,742290,977.88
2021S051235060606,742625,978
2021S051235060607,742935,977.88
2021S051235060608,742935,977.88
2021S051235060609,744185,977.63
2021S051235060610,743835,977.66
2021S051235060611,744185,977.63
2021S051235060612,743500,977.54
2021S051235060613,744530,977.52
2021S051235060616,744710,977.45
2021S051235060617,747065,978.46
2021S051235060618,744710,977.45
2021S051235060619,744710,977.45
2021S051235060620,747065,978.46
2021S051235060622,742625,978
2021S051235060623,741110,978.25
2021S051235060624,740450,978.45
2021S051235060625,740725,978.36
2021S051235060634,739560,978.56
2021S051235060638,738475,978.85
2021S051235060641,738025,978.79
2021S051235060642,738025,978.79
2021S051235060643,738025,978.79
2021S051235060644,738025,978.79
2021S051235060645,738025,978.79
2021S051235060646,738025,978.79
2021S051235060647,738750,978.67
2021S051235060648,739740,978.47
2021S051235060649,738570,978.76
2021S051235060653,743260,979.16
