DAUID,DGUID,Total_jobs_75,HHI_75,simpsons_75,Total_jobs_100,HHI_100,simpsons_100,Total_jobs_125,HHI_125,simpsons_125,Total_jobs_150,HHI_150,simpsons_150
35251018,2021S051235251018,3154575,777.4734228285074,0.9222526577171493,4164040,775.3914669857811,0.9224608533014219,4813680,774.3254748011104,0.9225674525198889,5067250,772.8024926059804,0.9227197507394019
35251019,2021S051235251019,3556100,778.9371837982218,0.9221062816201778,4338065,774.789422951968,0.9225210577048032,4637680,770.9711026808401,0.922902889731916,5064380,773.248955548387,0.9226751044451613
35251020,2021S051235251020,3502805,778.7154458789853,0.9221284554121014,4318280,775.0014003314634,0.9224998599668537,4624715,771.0205062233288,0.9228979493776671,5058925,773.2757263337978,0.9226724273666203
35251021,2021S051235251021,3503300,778.8426297678469,0.9221157370232154,4315465,774.9552264989079,0.9225044773501092,4624895,771.0330526855471,0.9228966947314453,5060840,773.2454335568608,0.9226754566443139
35251023,2021S051235251023,3554555,778.7716914016823,0.9221228308598317,4344555,774.8188029237925,0.9225181197076208,4636970,770.9746650323249,0.9229025334967675,5063280,773.2698599778695,0.922673014002213
35251024,2021S051235251024,3554455,778.7847915366058,0.9221215208463395,4347030,774.8832408980836,0.9225116759101917,4635030,771.0007759770845,0.9228999224022916,5063380,773.2745736164705,0.922672542638353
35251025,2021S051235251025,3465495,778.538096389977,0.9221461903610023,4268260,775.0586911879011,0.9224941308812099,4804585,773.2736837826067,0.9226726316217393,5069980,772.712484187167,0.9227287515812833
35251026,2021S051235251026,3374375,778.3994187092812,0.9221600581290719,4248815,775.2147871345288,0.9224785212865472,4808570,773.5902096794125,0.9226409790320588,5067790,772.7662072709011,0.9227233792729099
35251027,2021S051235251027,2896115,778.0491828437146,0.9221950817156286,4070110,776.6136287426908,0.9223386371257309,4769020,775.1386345555529,0.9224861365444447,5026725,773.3205680231913,0.9226679431976809
35251028,2021S051235251028,2780210,778.8801645452178,0.9221119835454782,4048755,776.7497972930466,0.9223250202706953,4759060,775.3578939788594,0.922464210602114,5020505,773.3443505659283,0.9226655649434072
35251029,2021S051235251029,3122210,777.3388208953597,0.9222661179104641,4164140,775.9694045424146,0.9224030595457585,4774470,774.0035696894441,0.9225996430310556,5036555,773.1199574332664,0.9226880042566734
35251030,2021S051235251030,3121215,777.3403347139113,0.9222659665286088,4158100,776.0381060976579,0.9223961893902342,4700210,773.0514639573825,0.9226948536042617,5025215,773.2669188192727,0.9226733081180727
35251031,2021S051235251031,3129525,777.2960144098065,0.9222703985590194,4177465,775.3903888860377,0.9224609611113962,4832330,774.2589493951448,0.9225741050604855,5078400,772.365252429182,0.9227634747570818
